sequential_id,gender,treatment,customer_signup,country,commercial_communications,communications_signup,loyalty_level,loyalty_signup,birth_date,email,total_reservations,average_stay,average_advance_booking,billing,reservation_channel,travel_reason,last_reservation,different_hotels,companion,language_name,age
2.866.106,hombre,Señor,2023-04-24,MX,True,2023-11-01,,,1980-01-08,True,5,3,38,4135.7424962,Indirecto,LEISURE,2023-09-24,4.0,Pareja,Spanish,44
4.324.568,hombre,Señor,2022-09-18,CA,True,,,,1970-03-20,True,3,2,2,885.70325276,Indirecto,LEISURE,2024-02-19,1.0,Pareja,English,54
2.183.661,hombre,Señor,2023-07-19,ES,True,,,,1954-07-23,True,2,2,0,515.04945216,Mixto Directo,MIXTO,2023-07-23,1.0,Pareja,Spanish,69
2.520.138,hombre,Señor,2023-06-08,MX,True,,,,1997-12-14,True,2,1,0,379.4315919522,Indirecto,MIXTO,2023-11-09,2.0,Pareja,Spanish,26
1.981.678,hombre,Señor,2023-08-10,3,True,,,,1970-02-20,True,2,1,17,654.29274688,Indirecto,MIXTO,2023-08-14,2.0,Individual,Korean,54
695.709,hombre,Señor,2024-01-28,PL,True,,,,1977-02-23,False,3,3,1,1162.66278736,Indirecto,LEISURE,2024-02-06,1.0,Pareja,English,47
2.282.991,hombre,Señor,2023-07-07,IT,True,,,,1976-11-14,False,2,3,2,1798.8653761309,Indirecto,LEISURE,2024-01-06,2.0,Grupo,Italian,47
1.847.200,mujer,Señora,2023-08-24,CZ,True,,,,1988-05-13,True,2,2,47,1070.4305951501,Indirecto,MIXTO,2023-11-24,1.0,Individual,Czech,36
5.465.275,hombre,Señor,2022-04-21,PT,True,,,,1961-11-01,False,3,1,6,782.18007808,Indirecto,BT,2023-10-12,2.0,Individual,Portuguese,62
1.443.372,mujer,Señora,2023-10-11,CA,True,,,,1969-02-06,False,2,1,9,1053.37796632,Indirecto,LEISURE,2023-10-16,2.0,Pareja,English,55
2.573.028,hombre,Señor,2023-06-01,ES,True,2024-05-08,bajo,2024-03-24,1978-05-27,True,2,2,19,857.86908912,Mixto Directo,MIXTO,2024-04-07,2.0,Pareja,Spanish,46
2.880.530,mujer,Señora,2023-04-22,ES,True,,,,1972-02-20,True,2,1,4,838.90472772,Mixto Indirecto,LEISURE,2023-06-17,1.0,Pareja,Spanish,52
5.375.883,hombre,Señor,2022-05-06,ES,True,,,,1980-12-08,False,11,1,0,1386.5455768,Mixto Indirecto,MIXTO_BT,2023-06-06,1.0,Individual,Spanish,43
4.160.159,hombre,Señor,2022-10-08,PT,True,,,,1961-07-19,False,3,1,58,639.64315004,Mixto Directo,LEISURE,2023-07-17,2.0,Pareja,Portuguese,62
4.270.457,hombre,Señor,2022-09-24,ES,True,,,,1995-02-10,False,2,2,9,822.90727064,Indirecto,LEISURE,2022-09-28,1.0,Pareja,Spanish,29
5.053.999,mujer,Señora,2022-06-23,ES,True,,,,1982-12-29,True,4,2,9,1255.6481076,Mixto Directo,LEISURE,2023-11-26,2.0,Pareja,Spanish,41
3.558.509,hombre,Señor,2023-01-07,PT,True,,,,2005-10-28,False,4,4,7,3050.68653752,Mixto Indirecto,MIXTO,2024-02-10,1.0,Individual,Portuguese,18
5.391.951,hombre,Señor,2022-05-03,IL,True,,,,1964-11-27,False,2,1,5,547.234216,Indirecto,LEISURE,2022-05-08,1.0,Pareja,Hebrew,59
5.626.166,hombre,Señor,2022-03-26,ES,True,2024-05-03,bajo,2024-03-19,1992-07-16,True,8,1,6,1044.50103172,Mixto Directo,MIXTO,2024-04-16,5.0,Individual,Spanish,31
2.875.982,mujer,Señora,2023-04-23,ES,True,2023-12-28,,,1986-10-18,False,3,2,1,739.49090596,Mixto Indirecto,MIXTO_BT,2024-01-29,3.0,Individual,Spanish,37
1.674.826,hombre,Señor,2023-09-14,VE,True,2023-11-09,bajo,,1964-01-15,True,6,11,40,8983.47272608,Directo,MIXTO_LEISURE,2024-02-26,3.0,Pareja,Spanish,60
5.045.353,mujer,Señor,2022-06-24,ES,True,,,,1976-08-24,False,2,2,17,765.88,Mixto Directo,MIXTO,2023-12-01,2.0,Individual,Spanish,47
5.362.908,hombre,Señor,2022-05-07,BE,True,,,,1966-04-15,False,2,1,126,484.5216,Mixto Directo,BT,2022-05-13,2.0,Pareja,English,58
5.829.659,hombre,Señor,2022-02-13,ES,True,2023-11-11,,,2002-11-02,True,4,1,17,817.31636304,Indirecto,LEISURE,2023-10-01,4.0,Pareja,Spanish,21
2.732.292,hombre,Señor,2023-05-11,ES,True,,,,1967-06-16,False,14,4,20,6322.945462,Directo,BT,2023-11-16,2.0,Individual,Spanish,57
5.605.635,hombre,Señor,2022-03-30,PT,True,2024-05-23,bajo,2024-04-07,1951-03-20,True,5,2,21,2888.91608964,Indirecto,BT,2024-04-11,4.0,Individual,Portuguese,73
3.245.938,hombre,Señor,2023-02-28,ES,True,2023-05-18,,,1980-09-01,True,3,1,2,603.52000164,Indirecto,LEISURE,2024-03-31,2.0,Familia,Spanish,43
2.404.800,mujer,Señora,2023-06-22,ES,True,,,,1973-01-30,True,6,1,14,1032.78724152,Indirecto,MIXTO_BT,2024-02-15,4.0,Individual,Spanish,51
3.720.026,hombre,Señor,2022-12-13,DE,True,,,,1995-12-13,False,3,1,48,417.73218836,Directo,MIXTO_BT,2024-03-22,1.0,Individual,German,28
5.634.864,hombre,Señor,2022-03-25,ES,True,,,,1970-01-05,False,2,2,130,1025.14115808,Mixto Directo,MIXTO,2023-08-27,2.0,Pareja,Spanish,54
5.309.519,mujer,Señora,2022-05-16,ES,True,,,,1996-08-11,True,2,1,13,387.78545544,Indirecto,LEISURE,2024-01-09,2.0,Pareja,Spanish,27
4.968.143,hombre,Señor,2022-07-05,GB,True,,,,1959-10-20,False,2,1,8,483.6524,Indirecto,BT,2023-05-10,2.0,Individual,English,64
3.985.854,mujer,Señora,2022-10-31,CA,True,,,,1976-06-13,True,2,1,2,566.83916304,Directo,BT,2022-11-03,1.0,Individual,English,48
3.717.289,hombre,Señor,2022-12-13,ES,True,,,,1965-07-05,False,2,3,2,424.91505216,Directo,BT,2023-02-03,2.0,Individual,Spanish,59
453.782,hombre,Señor,2024-03-04,US,True,,,,1951-02-05,False,2,2,24,527.39924256,Indirecto,LEISURE,2024-03-13,1.0,Pareja,English,73
2.537.141,hombre,Señor,2023-06-05,PT,True,,,,1969-07-14,True,4,1,0,465.68545052,Mixto Directo,MIXTO,2024-01-12,3.0,Individual,Portuguese,54
3.278.920,mujer,Señora,2023-02-24,ES,True,,,,1957-02-23,False,3,7,8,1698.9058152,Mixto Directo,LEISURE,2023-11-15,1.0,Pareja,Spanish,67
4.772.132,mujer,Señora,2022-07-30,ES,True,,,,1964-11-19,False,2,2,48,563.3197025855,Mixto Directo,MIXTO,2024-03-13,2.0,Individual,Spanish,59
3.371.026,mujer,Señora,2023-02-10,ES,True,,,,1983-05-14,True,3,1,56,710.24225708,Directo,LEISURE,2024-01-28,3.0,Pareja,Spanish,41
